ParameterID,ParameterName,Units,IndicatorID,IndicatorName,Habitat
72,"Ammonia, Un-ionized (NH3)",mg/L,6,Nutrients,Water Column
21,Braun Blanquet Score,Score,1,Percent Cover,Submerged Aquatic Vegetation
10,"Chlorophyll a, Corrected for Pheophytin",ug/L,8,Water Clarity,Water Column
9,"Chlorophyll a, Uncorrected for Pheophytin",ug/L,8,Water Clarity,Water Column
44,Colony Density,#/m2,10,Community Composition,Coral/Coral Reef
60,Colony Diameter,cm,12,Percent Cover,Coral/Coral Reef
57,Colony Height,cm,12,Percent Cover,Coral/Coral Reef
58,Colony Length,cm,12,Percent Cover,Coral/Coral Reef
59,Colony Width,cm,12,Percent Cover,Coral/Coral Reef
13,Colored Dissolved Organic Matter,PCU,8,Water Clarity,Water Column
35,Count,Count,9,Nekton,Water Column
46,Count,Count,11,Grazers and Reef Dependent Species,Coral/Coral Reef
79,Count,Count,10,Community Composition,Coral/Coral Reef
26,Density,#/m2,13,Density,Oyster/Oyster Reef
1,Dissolved Oxygen,mg/L,7,Water Quality,Water Column
5,Dissolved Oxygen Saturation,%,7,Water Quality,Water Column
14,"Fluorescent dissolved organic matter, FDOM",QSE,8,Water Clarity,Water Column
62,Fork Length,cm,9,Nekton,Water Column
25,Hectares,ha,2,Acreage,Submerged Aquatic Vegetation
37,Hectares,ha,14,Acreage,Oyster/Oyster Reef
45,Hectares,ha,33,Acreage,Coral/Coral Reef
48,Hectares,ha,17,Acreage,Coastal Wetlands
12,Light Extinction Coefficient,m^-1,8,Water Clarity,Water Column
22,Modified Braun Blanquet Score,Score,1,Percent Cover,Submerged Aquatic Vegetation
18,"Ammonium, Filtered (NH4)",mg/L,6,Nutrients,Water Column
73,Nitrate (NO3),mg/L,6,Nutrients,Water Column
75,Nitrite (NO2),mg/L,6,Nutrients,Water Column
78,"Nitrogen, organic",mg/L,6,Nutrients,Water Column
17,"NO2+3, Filtered",mg/L,6,Nutrients,Water Column
40,Number of Oysters Counted - Dead,Count,13,Density,Oyster/Oyster Reef
39,Number of Oysters Counted - Live,Count,13,Density,Oyster/Oyster Reef
38,Number of Oysters Counted - Total,Count,13,Density,Oyster/Oyster Reef
24,Percent Cover,%,1,Percent Cover,Submerged Aquatic Vegetation
31,Percent Cover,%,18,Species Compositon,Coastal Wetlands
43,Percent Cover,%,12,Percent Cover,Coral/Coral Reef
27,Percent Live,%,15,Percent Live,Oyster/Oyster Reef
56,Percent Live Tissue,%,12,Percent Cover,Coral/Coral Reef
70,Percent Occurrence,%,1,Percent Cover,Submerged Aquatic Vegetation
4,pH,None,7,Water Quality,Water Column
20,"Phosphate, Filtered (PO4)",mg/L,6,Nutrients,Water Column
36,Presence/Absence,Y/N,9,Nekton,Water Column
47,Presence/Absence,Y/N,11,Grazers and Reef Dependent Species,Coral/Coral Reef
69,Presence/Absence,Y/N,1,Percent Cover,Submerged Aquatic Vegetation
80,Presence/Absence,Y/N,10,Community Composition,Coral/Coral Reef
51,Reef Height,mm,13,Density,Oyster/Oyster Reef
2,Salinity,ppt,7,Water Quality,Water Column
11,Secchi Depth,m,8,Water Clarity,Water Column
28,Shell Height,mm,16,Size Class,Oyster/Oyster Reef
52,Shoot Count,#,1,Percent Cover,Submerged Aquatic Vegetation
63,Snout to Anus,cm,9,Nekton,Water Column
6,Specific Conductivity,mS/cm,7,Water Quality,Water Column
64,Standard Length,cm,9,Nekton,Water Column
81,Standard Length,cm,11,Grazers and Reef Dependent Species,Coral/Coral Reef
32,Stem Density,#/m2,18,Species Compositon,Coastal Wetlands
16,Total Kjeldahl Nitrogen,mg/L,6,Nutrients,Water Column
66,Total Length,cm,9,Nekton,Water Column
15,Total Nitrogen,mg/L,6,Nutrients,Water Column
19,Total Phosphorus,mg/L,6,Nutrients,Water Column
8,Total Suspended Solids,mg/L,8,Water Clarity,Water Column
49,Total/Canopy Percent Cover,%,18,Species Compositon,Coastal Wetlands
7,Turbidity,NTU,8,Water Clarity,Water Column
3,Water Temperature,Degrees C,7,Water Quality,Water Column
67,Width,cm,9,Nekton,Water Column
